id,name,city,address,website,category
10890,"Prime Lounge",Philadelphia,,"",lounge
10935,"LUXOR CAFE & HOOKAH LOUNGE",Philadelphia,,"",lounge
10940,"The Crown Hookah Lounge",Philadelphia,,"",lounge
10941,"Vira Hookah Lounge",Philadelphia,,"",lounge
10942,"Alamodak Restaurant and Hookah bar",Philadelphia,,https://www.alamodakrestauranthookahbar.com/?utm_source=gbp,restaurant
10945,Dahlak,Philadelphia,,http://www.dahlakrestaurant.com/,restaurant
10946,"Dalida hookah lounge",Philadelphia,,"",lounge
10949,"The Centurion Lounge",Philadelphia,,"",lounge
10992,"Bud & Marilyn's",Philadelphia,,http://budandmarilyns.com/,restaurant
10995,Fork,Philadelphia,,http://www.forkrestaurant.com/,restaurant
10998,"Cuba Libre Restaurant & Rum Bar",Philadelphia,,https://cubalibrerestaurant.com/en/philadelphia,restaurant
10999,"Estia Restaurant",Philadelphia,,http://www.estiarestaurant.com/,restaurant
11000,"Del Frisco's Double Eagle Steakhouse",Philadelphia,,https://www.delfriscos.com/location/del-friscos-double-eagle-steakhouse-philadelphia-pa/,restaurant
11010,"The Capital Grille",Philadelphia,,https://www.thecapitalgrille.com/locations/pa/philadelphia/philadelphia/8013?cmpid=br:tcg_ag:ie_ch:loc_ca:TCGGMB_sn:gmb_gt:philadelphia-pa-8013_pl:locurl_rd:1010,restaurant
11019,"Fiorella Pasta",Philadelphia,,https://fiorellaphilly.com/,restaurant
11020,"Villa di Roma",Philadelphia,,http://www.villadiroma.com/,restaurant
11021,"Giorgio On Pine",Philadelphia,,https://www.giorgio-on-pine.com/,restaurant
11023,"Dante & Luigi's",Philadelphia,,http://www.danteandluigis.com/,restaurant
11025,"Le Virtù",Philadelphia,,http://www.levirtu.com/,restaurant
11027,"Palizzi Social Club",Philadelphia,,https://palizzisocial.com/,restaurant
11029,"Spasso Italian Grill",Philadelphia,,http://www.spassoitaliangrill.com/,restaurant
11030,"L'Angolo Ristorante",Philadelphia,,"",restaurant
11033,"Kichi Omakase",Philadelphia,,"",restaurant
11034,"Royal Sushi & Izakaya",Philadelphia,,http://royalizakaya.com/,restaurant
11037,"Nakama Japanese Cuisines & Omakase",Philadelphia,,https://exploretock.com/nakama-japanese-cuisines--omakase-philadelphia,restaurant
11040,"Shiso Noodle and Sushi Bar",Philadelphia,,https://shisonoodleandsushi.com/?utm_source=google,restaurant
11041,Zama,Philadelphia,,http://www.zamaphilly.com/,restaurant
11042,"Umami Steak and Sushi Bar",Philadelphia,,https://umamisteakandsushi.com/?utm_source=google,restaurant
11044,"Bleu Sushi",Philadelphia,,http://www.bleusushi.com/,restaurant
11045,"Samurai Japanese Restaurant",Philadelphia,,https://samuraiasianfusion.com/,restaurant
11047,"KIRIN HOUSE",Philadelphia,,https://www.kirinhousephilly.com/,restaurant
11048,"Kiku Sushi",Philadelphia,,https://www.ezordernow.com/philadelphia-19145-kiku-sushi-802637,restaurant
11051,"Shinto Japanese Sushi & Hibachi",Philadelphia,,https://shintophiladelphia.com/,restaurant
11052,"Fuji Mountain Japanese Restaurant",Philadelphia,,http://www.fujimt.com/,restaurant
11053,"Yanaga Kappo Izakaya",Philadelphia,,https://www.ykisushi.com/,restaurant
11054,"Gyu-Kaku Japanese BBQ",Philadelphia,,http://www.gyu-kaku.com/philadelphia,restaurant
11056,"Kissho House Japanese Cuisine & Omakase",Philadelphia,,https://www.kisshohouse.com/,restaurant
11058,"Shay’s Steaks",Philadelphia,,https://shayssteaks.shop/,restaurant
11061,"Fogo de Chão Brazilian Steakhouse",Philadelphia,,https://fogodechao.com/location/philadelphia/,restaurant
11062,"Urban Farmer Philadelphia",Philadelphia,,https://www.urbanfarmersteakhouse.com/,restaurant
11063,"NaBrasa Brazilian Steakhouse",Philadelphia,,https://nabrasa.com/locations/philadelphia/,restaurant
11067,"Ruth's Chris Steak House",Philadelphia,,https://www.ruthschris.com/locations/pa/philadelphia/philadelphia/7365?cmpid=br:rc_ag:ie_ch:loc_ca:RCGMB_sn:gmb_gt:philadelphia-pa-7365_pl:locurl_rd:1066,restaurant
